"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"group_9078","","hypothetical protein","1","1","1","74","3610","1","1216","","299","299","299","","42P1R1A12_04947","","",""
"lexA_5","","LexA repressor","1","1","1","74","3609","1","1217","","698","698","698","","42P1R1A12_04948","","",""
"group_9080","","hypothetical protein","1","1","1","74","3608","1","1218","","209","209","209","","42P1R1A12_04949","","",""
"group_9081","","hypothetical protein","1","1","1","74","3607","1","1219","","299","299","299","","42P1R1A12_04950","","",""
"group_9082","","hypothetical protein","1","1","1","74","3606","1","1220","","830","830","830","","42P1R1A12_04951","","",""
"group_9083","","hypothetical protein","1","1","1","74","3605","1","1221","","893","893","893","","42P1R1A12_04952","","",""
"dnaB_2","","Replicative DNA helicase","1","1","1","74","3604","1","1222","","1379","1379","1379","","42P1R1A12_04953","","",""
"group_9085","","hypothetical protein","1","1","1","74","3603","1","1223","","368","368","368","","42P1R1A12_04954","","",""
"group_9086","","hypothetical protein","1","1","1","74","3602","1","1224","","782","782","782","","42P1R1A12_04955","","",""
"group_9087","","hypothetical protein","1","1","1","74","3601","1","1225","","497","497","497","","42P1R1A12_04956","","",""
"group_9088","","hypothetical protein","1","1","1","74","406","1","1226","","278","278","278","","42P1R1A12_04957","","",""
"group_9089","","hypothetical protein","1","1","1","74","407","1","1227","","209","209","209","","42P1R1A12_04958","","",""
"group_9091","rrrD","Lysozyme RrrD","1","1","1","74","843","1","1229","","503","503","503","","42P1R1A12_04960","","",""
"group_9092","","hypothetical protein","1","1","1","74","844","1","1230","","350","350","350","","42P1R1A12_04961","","",""
"group_9093","","hypothetical protein","1","1","1","74","845","1","1231","","638","638","638","","42P1R1A12_04962","","",""
"group_9094","","hypothetical protein","1","1","1","74","846","1","1232","","506","506","506","","42P1R1A12_04963","","",""
"group_9095","","hypothetical protein","1","1","1","74","847","1","1233","","200","200","200","","42P1R1A12_04964","","",""
"group_9096","","hypothetical protein","1","1","1","74","848","1","1234","","563","563","563","","42P1R1A12_04965","","",""
"group_9097","","hypothetical protein","1","1","1","74","849","1","1235","","2123","2123","2123","","42P1R1A12_04966","","",""
"group_9099","","hypothetical protein","1","1","1","74","2085","1","355","","869","869","869","","42P1R1A12_04969","","",""
"group_9100","","hypothetical protein","1","1","1","74","2084","1","354","","578","578","578","","42P1R1A12_04970","","",""
"group_9101","","hypothetical protein","1","1","1","74","2083","1","353","","404","404","404","","42P1R1A12_04971","","",""
"group_9102","","hypothetical protein","1","1","1","74","2082","1","352","","1049","1049","1049","","42P1R1A12_04972","","",""
"group_9103","","hypothetical protein","1","1","1","74","2081","1","351","","380","380","380","","42P1R1A12_04973","","",""
"group_9104","","hypothetical protein","1","1","1","74","2080","1","350","","362","362","362","","42P1R1A12_04974","","",""
"group_9105","","hypothetical protein","1","1","1","74","2079","1","349","","545","545","545","","42P1R1A12_04975","","",""
"group_9106","","hypothetical protein","1","1","1","74","2078","1","348","","179","179","179","","42P1R1A12_04976","","",""
"group_9107","","hypothetical protein","1","1","1","74","2077","1","347","","1517","1517","1517","","42P1R1A12_04977","","",""
"group_9108","","hypothetical protein","1","1","1","74","2076","1","346","","368","368","368","","42P1R1A12_04978","","",""
"group_9109","","hypothetical protein","1","1","1","74","2075","1","345","","278","278","278","","42P1R1A12_04979","","",""
"group_9110","","hypothetical protein","1","1","1","74","2074","1","344","","1835","1835","1835","","42P1R1A12_04980","","",""
"group_9111","","hypothetical protein","1","1","1","74","2073","1","343","","734","734","734","","42P1R1A12_04981","","",""
"group_9112","","hypothetical protein","1","1","1","74","2072","1","342","","1400","1400","1400","","42P1R1A12_04982","","",""
"group_9113","","hypothetical protein","1","1","1","74","2071","1","341","","1079","1079","1079","","42P1R1A12_04983","","",""
"group_9114","","hypothetical protein","1","1","1","74","2070","1","340","","578","578","578","","42P1R1A12_04984","","",""
"group_9115","","hypothetical protein","1","1","1","74","2069","1","339","","449","449","449","","42P1R1A12_04985","","",""
"group_9116","","hypothetical protein","1","1","1","74","2068","1","338","","1148","1148","1148","","42P1R1A12_04986","","",""
"group_9117","","hypothetical protein","1","1","1","74","2067","1","337","","668","668","668","","42P1R1A12_04987","","",""
"group_9118","","hypothetical protein","1","1","1","74","2066","1","336","","815","815","815","","42P1R1A12_04988","","",""
"group_9121","nifF","Flavodoxin 2","1","1","1","74","4057","21","12","","530","530","530","","42P1R1A12_04993","","",""
"group_9122","surA_2","Chaperone SurA","1","1","1","74","4058","21","13","","800","800","800","","42P1R1A12_04994","","",""
"group_9123","","hypothetical protein","1","1","1","74","4059","21","14","","446","446","446","","42P1R1A12_04995","","",""
"group_9124","","hypothetical protein","1","1","1","74","4071","21","24","","218","218","218","","42P1R1A12_05004","","",""
"group_9129","sbmC","DNA gyrase inhibitor","1","1","1","74","4098","868","3","","473","473","473","","42P1R1A12_05014","","",""
"cobU_2","","Bifunctional adenosylcobalamin biosynthesis protein CobU","1","1","1","74","5177","701","5","","212","212","212","","42P1R1A12_05017","","",""
"iolT_4","","Major myo-inositol transporter IolT","1","1","1","74","5175","701","10","","1424","1424","1424","","42P1R1A12_05021","","",""
"iolG_7","","Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase","1","1","1","74","5174","701","9","","1010","1010","1010","","42P1R1A12_05022","","",""
"group_9134","fruB_3","Multiphosphoryl transfer protein","1","1","1","74","5173","701","8","","449","449","449","","42P1R1A12_05023","","",""
"group_9135","","hypothetical protein","1","1","1","74","5172","701","14","","941","941","941","","42P1R1A12_05024","","",""
"cytR_4","","HTH-type transcriptional repressor CytR","1","1","1","74","5170","701","15","","1004","1004","1004","","42P1R1A12_05025","","",""
"group_9137","","hypothetical protein","1","1","1","74","5171","701","16","","389","389","389","","42P1R1A12_05026","","",""
"group_9139","","hypothetical protein","1","1","1","74","5169","701","18","","731","731","731","","42P1R1A12_05028","","",""
"group_9140","yeaR_2","putative protein YeaR","1","1","1","74","5187","701","22","","332","332","332","","42P1R1A12_05032","","",""
"group_9141","","hypothetical protein","1","1","1","74","5186","701","23","","341","341","341","","42P1R1A12_05033","","",""
"malP_4","","PTS system maltose-specific EIICB component","1","1","1","74","5168","701","25","","1532","1532","1532","","42P1R1A12_05035","","",""
"group_9144","","hypothetical protein","1","1","1","74","5195","701","26","","1535","1535","1535","","42P1R1A12_05037","","",""
"group_9145","fimF_2","Protein FimF","1","1","1","74","5198","701","44","","527","527","527","","42P1R1A12_05040","","",""
"fimD_7","","Outer membrane usher protein FimD","1","1","1","74","5197","701","43","","446","446","446","","42P1R1A12_05041","","",""
"group_9147","","hypothetical protein","1","1","1","74","340","696","7","","650","650","650","","42P1R1A12_05042","","",""
"group_9148","","hypothetical protein","1","1","1","74","341","696","8","","260","260","260","","42P1R1A12_05043","","",""
"group_9150","","hypothetical protein","1","1","1","74","338","696","9","","311","311","311","","42P1R1A12_05046","","",""
"group_9151","","hypothetical protein","1","1","1","74","327","696","38","","254","254","254","","42P1R1A12_05048","","",""
"group_9153","lacZ_1","Beta-galactosidase","1","1","1","74","329","696","13","","3107","3107","3107","","42P1R1A12_05052","","",""
"group_9154","lacI_2","Lactose operon repressor","1","1","1","74","328","696","12","","1070","1070","1070","","42P1R1A12_05053","","",""
"group_9155","","hypothetical protein","1","1","1","74","306","696","11","","434","434","434","","42P1R1A12_05054","","",""
"group_9157","","hypothetical protein","1","1","1","74","303","696","26","","281","281","281","","42P1R1A12_05057","","",""
"group_9158","","hypothetical protein","1","1","1","74","304","696","27","","977","977","977","","42P1R1A12_05058","","",""
"group_9159","","hypothetical protein","1","1","1","74","311","696","25","","278","278","278","","42P1R1A12_05060","","",""
"group_9164","","hypothetical protein","1","1","1","74","292","792","6","","194","194","194","","42P1R1A12_05070","","",""
"group_9165","","hypothetical protein","1","1","1","74","293","792","1","","470","470","470","","42P1R1A12_05071","","",""
"yddE","","putative isomerase YddE","1","1","1","74","2272","747","15","","791","791","791","","42P1R1A12_05079","","",""
"group_9171","","hypothetical protein","1","1","1","74","2273","747","16","","788","788","788","","42P1R1A12_05080","","",""
"group_9172","","hypothetical protein","1","1","1","74","2287","747","19","","482","482","482","","42P1R1A12_05082","","",""
"group_9173","","hypothetical protein","1","1","1","74","2306","697","1","","1412","1412","1412","","42P1R1A12_05087","","",""
"group_9175","tam_2","Trans-aconitate 2-methyltransferase","1","1","1","74","2300","697","49","","752","752","752","","42P1R1A12_05092","","",""
"group_9176","","hypothetical protein","1","1","1","74","2299","697","50","","800","800","800","","42P1R1A12_05093","","",""
"group_9177","","hypothetical protein","1","1","1","74","2298","697","51","","419","419","419","","42P1R1A12_05094","","",""
"group_9178","","hypothetical protein","1","1","1","74","2297","697","52","","299","299","299","","42P1R1A12_05095","","",""
"group_9179","","hypothetical protein","1","1","1","74","2296","697","53","","311","311","311","","42P1R1A12_05096","","",""
"group_9180","","hypothetical protein","1","1","1","74","2295","697","54","","389","389","389","","42P1R1A12_05097","","",""
"group_9181","xerC_5","Tyrosine recombinase XerC","1","1","1","74","2294","697","55","","968","968","968","","42P1R1A12_05098","","",""
"group_9182","","hypothetical protein","1","1","1","74","2293","697","56","","299","299","299","","42P1R1A12_05099","","",""
"group_9183","","hypothetical protein","1","1","1","74","2292","697","57","","266","266","266","","42P1R1A12_05100","","",""
"group_9184","","hypothetical protein","1","1","1","74","2290","697","59","","239","239","239","","42P1R1A12_05102","","",""
"pheA2","","Secreted chorismate mutase","1","1","1","74","3574","1","513","","542","542","542","","42P1R1A12_05103","","",""
"group_9186","glnQ_8","Glutamine transport ATP-binding protein GlnQ","1","1","1","74","3575","1","514","","734","734","734","","42P1R1A12_05104","","",""
"glnP_5","","putative glutamine ABC transporter permease protein GlnP","1","1","1","74","3576","1","515","","770","770","770","","42P1R1A12_05105","","",""
"gltJ_3","","Glutamate/aspartate import permease protein GltJ","1","1","1","74","3577","1","516","","695","695","695","","42P1R1A12_05106","","",""
"group_9189","ydfG_1","NADP-dependent 3-hydroxy acid dehydrogenase YdfG","1","1","1","74","3578","1","517","","752","752","752","","42P1R1A12_05107","","",""
"group_9190","","hypothetical protein","1","1","1","74","3579","1","518","","923","923","923","","42P1R1A12_05108","","",""
"aatA","","Aspartate/prephenate aminotransferase","1","1","1","74","3580","1","519","","1202","1202","1202","","42P1R1A12_05109","","",""
"pxpA_2","","5-oxoprolinase subunit A","1","1","1","74","3581","1","520","","773","773","773","","42P1R1A12_05110","","",""
"pxpC_2","","5-oxoprolinase subunit C","1","1","1","74","3582","1","521","","986","986","986","","42P1R1A12_05111","","",""
"pxpB_2","","5-oxoprolinase subunit B","1","1","1","74","3583","1","522","","689","689","689","","42P1R1A12_05112","","",""
"artJ_4","","ABC transporter arginine-binding protein 1","1","1","1","74","3584","1","523","","836","836","836","","42P1R1A12_05113","","",""
"ribN","","Riboflavin transporter","1","1","1","74","3585","1","524","","917","917","917","","42P1R1A12_05114","","",""
"group_9197","gdhA_2","Glutamate dehydrogenase","1","1","1","74","3586","1","525","","1271","1271","1271","","42P1R1A12_05115","","",""
"accB_1","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","1","1","1","74","3588","1","527","","464","464","464","","42P1R1A12_05117","","",""
"nagR_2","","HTH-type transcriptional repressor NagR","1","1","1","74","3589","1","528","","716","716","716","","42P1R1A12_05118","","",""
"cmpD_3","","Bicarbonate transport ATP-binding protein CmpD","1","1","1","74","3590","1","529","","806","806","806","","42P1R1A12_05119","","",""
"group_9201","","hypothetical protein","1","1","1","74","3591","1","530","","995","995","995","","42P1R1A12_05120","","",""
"ssuC_5","","Putative aliphatic sulfonates transport permease protein SsuC","1","1","1","74","3592","1","531","","566","566","566","","42P1R1A12_05121","","",""
"group_9203","","hypothetical protein","1","1","1","74","3593","1","532","","1796","1796","1796","","42P1R1A12_05122","","",""
"soxC","","Dibenzothiophene desulfurization enzyme C","1","1","1","74","3594","1","533","","1223","1223","1223","","42P1R1A12_05123","","",""
"group_9205","ygcS","Inner membrane metabolite transport protein YgcS","1","1","1","74","3595","1","534","","1421","1421","1421","","42P1R1A12_05124","","",""
"group_9206","","hypothetical protein","1","1","1","74","3596","1","535","","878","878","878","","42P1R1A12_05125","","",""
"group_9207","metI_4","D-methionine transport system permease protein MetI","1","1","1","74","3597","1","536","","698","698","698","","42P1R1A12_05126","","",""
"btuD_10","","Vitamin B12 import ATP-binding protein BtuD","1","1","1","74","3598","1","537","","1019","1019","1019","","42P1R1A12_05127","","",""
"dmoA_2","","Dimethyl-sulfide monooxygenase","1","1","1","74","3599","1","538","","1406","1406","1406","","42P1R1A12_05128","","",""
"group_9210","","hypothetical protein","1","1","1","74","3600","1","539","","272","272","272","","42P1R1A12_05129","","",""
"rhaR_11","","HTH-type transcriptional activator RhaR","1","1","1","74","5241","745","9","","1661","1661","1661","","42P1R1A12_05146","","",""
"dgaR_2","","Transcriptional regulatory protein DagR","1","1","1","74","1384","698","31","","1091","1091","1091","","42P1R1A12_05152","","",""
"manX_5","","PTS system mannose-specific EIIAB component","1","1","1","74","1385","698","32","","431","431","431","","42P1R1A12_05153","","",""
"levE_3","","PTS system fructose-specific EIIB component","1","1","1","74","1386","698","33","","476","476","476","","42P1R1A12_05154","","",""
"sorA_3","","PTS system sorbose-specific EIIC component","1","1","1","74","1387","698","34","","800","800","800","","42P1R1A12_05155","","",""
"manZ_7","","PTS system mannose-specific EIID component","1","1","1","74","1388","698","35","","860","860","860","","42P1R1A12_05156","","",""
"group_9224","","hypothetical protein","1","1","1","74","1389","698","36","","2687","2687","2687","","42P1R1A12_05157","","",""
"outC_2","","Type II secretion system protein C","1","1","1","74","1390","698","37","","857","857","857","","42P1R1A12_05158","","",""
"pulD_2","","Secretin PulD","1","1","1","74","1391","698","38","","1979","1979","1979","","42P1R1A12_05159","","",""
"epsE_3","","Type II secretion system protein E","1","1","1","74","1392","698","39","","1499","1499","1499","","42P1R1A12_05160","","",""
"epsF_3","","Type II secretion system protein F","1","1","1","74","1393","698","40","","1220","1220","1220","","42P1R1A12_05161","","",""
"pulG_2","","Type II secretion system protein G","1","1","1","74","1394","698","41","","428","428","428","","42P1R1A12_05162","","",""
"gspH_2","","Putative type II secretion system protein H","1","1","1","74","1395","698","42","","551","551","551","","42P1R1A12_05163","","",""
"group_9231","","hypothetical protein","1","1","1","74","1396","698","43","","365","365","365","","42P1R1A12_05164","","",""
"xcpW_2","","Type II secretion system protein J","1","1","1","74","1397","698","44","","599","599","599","","42P1R1A12_05165","","",""
"group_9233","","hypothetical protein","1","1","1","74","1398","698","45","","986","986","986","","42P1R1A12_05166","","",""
"epsL_2","","Type II secretion system protein L","1","1","1","74","1399","698","30","","1205","1205","1205","","42P1R1A12_05167","","",""
"group_9235","epsM","Type II secretion system protein M","1","1","1","74","1400","698","29","","494","494","494","","42P1R1A12_05168","","",""
"outN_2","","Type II secretion system protein N","1","1","1","74","1401","698","28","","740","740","740","","42P1R1A12_05169","","",""
"outO_2","","Type 4 prepilin-like proteins leader peptide-processing enzyme","1","1","1","74","1402","698","27","","842","842","842","","42P1R1A12_05170","","",""
"group_9238","","Inulin fructotransferase [DFA-I-forming]","1","1","1","74","1249","741","17","","620","620","620","","42P1R1A12_05176","","",""
"group_9239","","Inulin fructotransferase [DFA-I-forming]","1","1","1","74","1250","741","16","","653","653","653","","42P1R1A12_05177","","",""
"group_9240","","hypothetical protein","1","1","1","74","1251","741","15","","1349","1349","1349","","42P1R1A12_05178","","",""
"group_9241","","hypothetical protein","1","1","1","74","1252","741","14","","1700","1700","1700","","42P1R1A12_05179","","",""
"yicJ_6","","Inner membrane symporter YicJ","1","1","1","74","1253","741","13","","1394","1394","1394","","42P1R1A12_05180","","",""
"group_9243","ccpA_2","Catabolite control protein A","1","1","1","74","1254","741","12","","992","992","992","","42P1R1A12_05181","","",""
"group_9246","mdtA_5","Multidrug resistance protein MdtA","1","1","1","74","1246","741","8","","1082","1082","1082","","42P1R1A12_05185","","",""
"group_9251","ybdZ","Enterobactin biosynthesis protein YbdZ","1","1","1","74","1200","734","2","","203","203","203","","42P1R1A12_05201","","",""
"group_9252","fes","Enterochelin esterase","1","1","1","74","1195","734","1","","1199","1199","1199","","42P1R1A12_05202","","",""
"group_9254","entD","Enterobactin synthase component D","1","1","1","74","1196","734","4","","623","623","623","","42P1R1A12_05204","","",""
"group_9261","ddpA_2","putative D,D-dipeptide-binding periplasmic protein DdpA","1","1","1","74","1476","773","10","","1568","1568","1568","","42P1R1A12_05221","","",""
"dppB_3","","Dipeptide transport system permease protein DppB","1","1","1","74","1475","773","9","","1049","1049","1049","","42P1R1A12_05222","","",""
"group_9263","ddpC_3","putative D,D-dipeptide transport system permease protein DdpC","1","1","1","74","1474","773","8","","833","833","833","","42P1R1A12_05223","","",""
"group_9264","dppD_2","Dipeptide transport ATP-binding protein DppD","1","1","1","74","1473","773","7","","836","836","836","","42P1R1A12_05224","","",""
"oppF_3","","Oligopeptide transport ATP-binding protein OppF","1","1","1","74","1472","773","6","","704","704","704","","42P1R1A12_05225","","",""
"rhtB_6","","Homoserine/homoserine lactone efflux protein","1","1","1","74","1464","780","3","","647","647","647","","42P1R1A12_05233","","",""
"group_9270","","hypothetical protein","1","1","1","74","1463","780","2","","329","329","329","","42P1R1A12_05234","","",""
"group_9271","","hypothetical protein","1","1","1","74","6836","1268","1","","221","221","221","","42P1R1A12_05238","","",""
"group_9272","acrR_2","HTH-type transcriptional regulator AcrR","1","1","1","74","6841","1114","1","","641","641","641","","42P1R1A12_05241","","",""
"group_9273","panF","Sodium/pantothenate symporter","1","1","1","74","6844","237","2","","1451","1451","1451","","42P1R1A12_05246","","",""
"group_9274","yhdT","putative membrane protein YhdT","1","1","1","74","6843","237","1","","242","242","242","","42P1R1A12_05247","","",""
"ydjF_2","","putative HTH-type transcriptional regulator YdjF","1","1","1","74","6868","1037","1","","746","746","746","","42P1R1A12_05261","","",""
"group_9282","","hypothetical protein","1","1","1","74","6820","1095","3","","644","644","644","","42P1R1A12_05271","","",""
"group_9284","oadG_2","Oxaloacetate decarboxylase gamma chain","1","1","1","74","6885","","","","248","248","248","","42P1R1A12_05276","","",""
"group_9285","pdeH_1","Cyclic di-GMP phosphodiesterase PdeH","1","1","1","74","3102","730","16","","716","716","716","","42P1R1A12_05279","","",""
"group_9286","","hypothetical protein","1","1","1","74","2653","730","15","","584","584","584","","42P1R1A12_05280","","",""
"group_9287","pdxI","Pyridoxine 4-dehydrogenase","1","1","1","74","3098","730","13","","872","872","872","","42P1R1A12_05282","","",""
"group_9290","kdgM_1","Oligogalacturonate-specific porin KdgM","1","1","1","74","3092","730","6","","695","695","695","","42P1R1A12_05287","","",""
"group_9300","","hypothetical protein","1","1","1","74","2667","916","1","","479","479","479","","42P1R1A12_05308","","",""
"group_9302","","hypothetical protein","1","1","1","74","902","1","152","","521","521","521","","42P1R1A12_05312","","",""
"group_9303","","hypothetical protein","1","1","1","74","903","1","153","","599","599","599","","42P1R1A12_05313","","",""
"group_9305","","hypothetical protein","1","1","1","74","862","1","196","","593","593","593","","42P1R1A12_05316","","",""
"group_9306","","hypothetical protein","1","1","1","74","863","1","195","","182","182","182","","42P1R1A12_05317","","",""
"group_9307","","hypothetical protein","1","1","1","74","864","1","194","","293","293","293","","42P1R1A12_05318","","",""
"group_9308","","hypothetical protein","1","1","1","74","865","1","193","","518","518","518","","42P1R1A12_05319","","",""
"group_9309","","hypothetical protein","1","1","1","74","866","1","192","","140","140","140","","42P1R1A12_05320","","",""
"group_9310","","hypothetical protein","1","1","1","74","867","1","154","","452","452","452","","42P1R1A12_05321","","",""
"group_9311","","hypothetical protein","1","1","1","74","868","1","155","","662","662","662","","42P1R1A12_05322","","",""
"group_9312","","hypothetical protein","1","1","1","74","869","1","156","","161","161","161","","42P1R1A12_05323","","",""
"group_9313","","hypothetical protein","1","1","1","74","889","1","183","","293","293","293","","42P1R1A12_05325","","",""
"group_9314","","hypothetical protein","1","1","1","74","888","1","182","","1076","1076","1076","","42P1R1A12_05326","","",""
"group_9315","","hypothetical protein","1","1","1","74","876","1","177","","425","425","425","","42P1R1A12_05328","","",""
"group_9316","","hypothetical protein","1","1","1","74","877","1","176","","227","227","227","","42P1R1A12_05329","","",""
"group_9317","","hypothetical protein","1","1","1","74","878","1","175","","293","293","293","","42P1R1A12_05330","","",""
"group_9318","","hypothetical protein","1","1","1","74","870","1","158","","506","506","506","","42P1R1A12_05332","","",""
"group_9321","yliI","Aldose sugar dehydrogenase YliI","1","1","1","74","871","1","163","","1115","1115","1115","","42P1R1A12_05336","","",""
"group_9324","iaaA","Isoaspartyl peptidase","1","1","1","74","1085","830","3","","941","941","941","","42P1R1A12_05345","","",""
"group_9325","","hypothetical protein","1","1","1","74","1089","830","5","","89","89","89","","42P1R1A12_05348","","",""
"group_9327","bglH_3","Cryptic outer membrane porin BglH","1","1","1","75","741","1362","1","","992","992","992","","42P1R1A12_05356","","",""
"group_9329","pelX","Pectate disaccharide-lyase","1","1","1","75","780","1034","2","","2171","2171","2171","","42P1R1A12_05364","","",""
"group_9339","","hypothetical protein","1","1","1","82","51","33","10","","167","167","167","","42P1R1A12_05395","","",""
"fecE_2","","Fe(3+) dicitrate transport ATP-binding protein FecE","1","1","1","82","60","33","3","","767","767","767","","42P1R1A12_05397","","",""
"fecD_2","","Fe(3+) dicitrate transport system permease protein FecD","1","1","1","82","61","33","2","","956","956","956","","42P1R1A12_05398","","",""
"fecC_2","","Fe(3+) dicitrate transport system permease protein FecC","1","1","1","82","62","33","49","","998","998","998","","42P1R1A12_05399","","",""
"fecB_2","","Fe(3+) dicitrate-binding periplasmic protein","1","1","1","82","63","33","50","","446","446","446","","42P1R1A12_05400","","",""
"fecR_2","","Protein FecR","1","1","1","82","65","33","41","","953","953","953","","42P1R1A12_05402","","",""
"fecI_2","","putative RNA polymerase sigma factor FecI","1","1","1","82","66","33","40","","521","521","521","","42P1R1A12_05403","","",""
"group_9346","","hypothetical protein","1","1","1","82","67","33","39","","104","104","104","","42P1R1A12_05404","","",""
"group_9347","","Creatinase","1","1","1","82","68","33","38","","1217","1217","1217","","42P1R1A12_05405","","",""
"gcvA_9","","Glycine cleavage system transcriptional activator","1","1","1","82","69","33","37","","953","953","953","","42P1R1A12_05406","","",""
"glnH_7","","Glutamine-binding periplasmic protein","1","1","1","82","70","33","36","","848","848","848","","42P1R1A12_05407","","",""
"group_9350","yecS_4","L-cystine transport system permease protein YecS","1","1","1","82","71","33","35","","671","671","671","","42P1R1A12_05408","","",""
"group_9351","yecS_5","L-cystine transport system permease protein YecS","1","1","1","82","4","33","34","","662","662","662","","42P1R1A12_05409","","",""
"glnQ_9","","Glutamine transport ATP-binding protein GlnQ","1","1","1","82","3","33","33","","818","818","818","","42P1R1A12_05410","","",""
"ytfF_2","","Inner membrane protein YtfF","1","1","1","82","2","33","32","","965","965","965","","42P1R1A12_05411","","",""
"group_9354","","hypothetical protein","1","1","1","82","1","33","31","","728","728","728","","42P1R1A12_05412","","",""
"arsC_2","","Arsenate reductase","1","1","1","82","33","33","30","","425","425","425","","42P1R1A12_05413","","",""
"arsA_1","","Arsenical pump-driving ATPase","1","1","1","82","35","33","28","","1751","1751","1751","","42P1R1A12_05415","","",""
"arsD_1","","Arsenical resistance operon trans-acting repressor ArsD","1","1","1","82","36","33","27","","362","362","362","","42P1R1A12_05416","","",""
"group_9358","","hypothetical protein","1","1","1","82","37","33","26","","353","353","353","","42P1R1A12_05417","","",""
"group_9359","","Glycine betaine transporter","1","1","1","82","38","33","25","","1997","1997","1997","","42P1R1A12_05418","","",""
"group_9360","","hypothetical protein","1","1","1","82","39","33","24","","107","107","107","","42P1R1A12_05419","","",""
"group_9361","","hypothetical protein","1","1","1","82","40","33","23","","1277","1277","1277","","42P1R1A12_05420","","",""
"group_9362","","hypothetical protein","1","1","1","82","41","33","22","","191","191","191","","42P1R1A12_05421","","",""
"group_9363","","hypothetical protein","1","1","1","74","6020","2","505","","578","578","578","","42P1R1A12_05424","","",""
"group_9364","","hypothetical protein","1","1","1","74","6021","2","506","","812","812","812","","42P1R1A12_05425","","",""
"group_9365","mopA","Molybdenum-pterin-binding protein MopA","1","1","1","74","6022","2","507","","371","371","371","","42P1R1A12_05426","","",""
"group_9366","","IS110 family transposase ISSm1","1","1","1","74","6023","2","508","","584","584","584","","42P1R1A12_05427","","",""
"group_9367","","hypothetical protein","1","1","1","74","6024","2","509","","623","623","623","","42P1R1A12_05428","","",""
"group_9368","","hypothetical protein","1","1","1","74","6025","2","510","","740","740","740","","42P1R1A12_05429","","",""
"group_9369","","IS6 family transposase ISYps1","1","1","1","74","6026","2","511","","269","269","269","","42P1R1A12_05430","","",""
"group_9370","","IS3 family transposase ISEc36","1","1","1","74","6027","2","512","","329","329","329","","42P1R1A12_05431","","",""
"group_9371","","IS6 family transposase ISYps1","1","1","1","74","6028","2","513","","386","386","386","","42P1R1A12_05432","","",""
"cdr","","Coenzyme A disulfide reductase","1","1","1","74","6029","2","514","","1658","1658","1658","","42P1R1A12_05433","","",""
"group_9374","","hypothetical protein","1","1","1","74","5983","2","550","","233","233","233","","42P1R1A12_05436","","",""
"group_9377","","hypothetical protein","1","1","1","74","6014","2","545","","797","797","797","","42P1R1A12_05439","","",""
"group_9378","","hypothetical protein","1","1","1","74","6013","2","544","","431","431","431","","42P1R1A12_05440","","",""
"group_9379","","hypothetical protein","1","1","1","74","6012","2","543","","428","428","428","","42P1R1A12_05441","","",""
"group_9380","","hypothetical protein","1","1","1","74","6011","2","542","","143","143","143","","42P1R1A12_05442","","",""
"group_9381","","putative metallo-hydrolase","1","1","1","74","6010","2","541","","392","392","392","","42P1R1A12_05443","","",""
"group_9382","","hypothetical protein","1","1","1","74","6009","2","540","","206","206","206","","42P1R1A12_05444","","",""
"group_9383","","hypothetical protein","1","1","1","74","6008","2","539","","251","251","251","","42P1R1A12_05445","","",""
"norW_3","","Nitric oxide reductase FlRd-NAD(+) reductase","1","1","1","74","6007","2","538","","500","500","500","","42P1R1A12_05446","","",""
"group_9385","","hypothetical protein","1","1","1","74","6006","2","537","","170","170","170","","42P1R1A12_05447","","",""
"ppaC","","putative manganese-dependent inorganic pyrophosphatase","1","1","1","74","6005","2","536","","908","908","908","","42P1R1A12_05448","","",""
"group_9387","","hypothetical protein","1","1","1","74","6004","2","535","","425","425","425","","42P1R1A12_05449","","",""
"eno_2","","Enolase","1","1","1","74","6003","2","534","","1289","1289","1289","","42P1R1A12_05450","","",""
"crcB_2","","Putative fluoride ion transporter CrcB","1","1","1","74","6002","2","533","","374","374","374","","42P1R1A12_05451","","",""
"group_9390","arsH","NADPH-dependent FMN reductase ArsH","1","1","1","74","6001","2","532","","722","722","722","","42P1R1A12_05452","","",""
"group_9391","","hypothetical protein","1","1","1","74","6000","2","531","","323","323","323","","42P1R1A12_05453","","",""
"group_9392","","hypothetical protein","1","1","1","74","5999","2","530","","1013","1013","1013","","42P1R1A12_05454","","",""
"group_9393","","hypothetical protein","1","1","1","74","5998","2","529","","497","497","497","","42P1R1A12_05455","","",""
"arsC_3","","Arsenate reductase","1","1","1","74","5997","2","528","","494","494","494","","42P1R1A12_05456","","",""
"arsC_4","","Arsenate reductase","1","1","1","74","5996","2","527","","428","428","428","","42P1R1A12_05457","","",""
"arsB_3","","Arsenical pump membrane protein","1","1","1","74","5995","2","526","","1289","1289","1289","","42P1R1A12_05458","","",""
"arsA_2","","Arsenical pump-driving ATPase","1","1","1","74","5994","2","525","","1766","1766","1766","","42P1R1A12_05459","","",""
