"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"group_10012","","hypothetical protein","1","1","1","167","1037","3","83","","1064","1064","1064","","","","","","56P2R2A4_02557"
"group_10013","","hypothetical protein","1","1","1","167","1036","3","82","","560","560","560","","","","","","56P2R2A4_02558"
"group_10014","","hypothetical protein","1","1","1","167","974","67","9","","362","362","362","","","","","","56P2R2A4_02564"
"group_10015","","hypothetical protein","1","1","1","167","670","67","10","","452","452","452","","","","","","56P2R2A4_02565"
"group_10016","","hypothetical protein","1","1","1","167","903","136","4","","470","470","470","","","","","","56P2R2A4_02605"
"group_10017","","hypothetical protein","1","1","1","166","4644","1","265","","4301","4301","4301","","","","","","56P2R2A4_02616"
"group_10018","","hypothetical protein","1","1","1","166","4645","1","266","","266","266","266","","","","","","56P2R2A4_02617"
"group_10019","","hypothetical protein","1","1","1","166","4646","1","267","","251","251","251","","","","","","56P2R2A4_02618"
"dapF_2","","Diaminopimelate epimerase","1","1","1","168","514","496","4","","515","515","515","","","38P2R3A13_08036","","",""
"group_10020","","hypothetical protein","1","1","1","166","4647","1","268","","248","248","248","","","","","","56P2R2A4_02619"
"group_10022","fepE","Ferric enterobactin transport protein FepE","1","1","1","166","4082","1","120","","1124","1124","1124","","","","","","56P2R2A4_02636"
"group_10023","","hypothetical protein","1","1","1","166","4529","153","3","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","182","182","182","","","","","","56P2R2A4_02693"
"group_10024","mdtH_2","Multidrug resistance protein MdtH","1","1","1","166","4117","11","2","","1220","1220","1220","","","","","","56P2R2A4_02726"
"group_10025","fecE","Fe(3+) dicitrate transport ATP-binding protein FecE","1","1","1","166","4116","11","1","","761","761","761","","","","","","56P2R2A4_02727"
"group_10026","","hypothetical protein","1","1","1","166","4143","11","30","","998","998","998","","","","","","56P2R2A4_02729"
"group_10027","hypF","Carbamoyltransferase HypF","1","1","1","166","4171","11","32","","2216","2216","2216","","","","","","56P2R2A4_02749"
"group_10028","","hypothetical protein","1","1","1","166","4206","8","110","","344","344","344","","","","","","56P2R2A4_02794"
"group_10029","dmlR_11","HTH-type transcriptional regulator DmlR","1","1","1","166","4402","8","103","","887","887","887","","","","","","56P2R2A4_02810"
"group_10030","","hypothetical protein","1","1","1","166","4299","8","86","","974","974","974","","","","","","56P2R2A4_02826"
"group_10031","","hypothetical protein","1","1","1","166","4300","8","85","","863","863","863","","","","","","56P2R2A4_02827"
"group_10032","pasT","Persistence and stress-resistance toxin PasT","1","1","1","166","4319","134","2","","437","437","437","","","","","","56P2R2A4_02830"
"group_10033","","hypothetical protein","1","1","1","166","4277","94","3","","1370","1370","1370","","","","","","56P2R2A4_02844"
"group_10034","glnQ_6","Glutamine transport ATP-binding protein GlnQ","1","1","1","166","1526","747","1","","758","758","758","","","","","","56P2R2A4_02861"
"group_10035","cah","Carbonic anhydrase","1","1","1","166","1509","809","1","","743","743","743","","","","","","56P2R2A4_02873"
"group_10036","folP","Dihydropteroate synthase","1","1","1","166","1649","812","1","","848","848","848","","","","","","56P2R2A4_02955"
"group_10037","","hypothetical protein","1","1","1","166","1786","77","13","","1886","1886","1886","","","","","","56P2R2A4_03017"
"group_10038","dapA_2","4-hydroxy-tetrahydrodipicolinate synthase","1","1","1","166","1438","77","7","","848","848","848","","","","","","56P2R2A4_03027"
"group_10039","","hypothetical protein","1","1","1","166","1392","37","36","","953","953","953","","","","","","56P2R2A4_03036"
"cyaY_2","","Iron-sulfur cluster assembly protein CyaY","1","1","1","88","2","619","1","Investigate","320","320","320","","","38P2R3A13_08253","","",""
"group_10040","xerC_1","Tyrosine recombinase XerC","1","1","1","166","1391","37","35","","995","995","995","","","","","","56P2R2A4_03037"
"group_10041","","hypothetical protein","1","1","1","166","1414","37","9","","338","338","338","","","","","","56P2R2A4_03039"
"group_10042","traR","Protein TraR","1","1","1","166","1395","37","8","","221","221","221","","","","","","56P2R2A4_03041"
"group_10043","","hypothetical protein","1","1","1","166","1396","37","53","","2189","2189","2189","","","","","","56P2R2A4_03042"
"group_10044","","hypothetical protein","1","1","1","166","1398","37","1","","128","128","128","","","","","","56P2R2A4_03054"
"group_10045","","hypothetical protein","1","1","1","169","444","743","2","","407","407","407","","","","","","56P2R2A4_03087"
"group_10046","","hypothetical protein","1","1","1","169","443","743","1","","389","389","389","","","","","","56P2R2A4_03088"
"group_10047","mepS_3","Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase","1","1","1","169","551","7","1","","437","437","437","","","","","","56P2R2A4_03098"
"group_10048","","hypothetical protein","1","1","1","169","206","726","1","","494","494","494","","","","","","56P2R2A4_03167"
"group_10049","","hypothetical protein","1","1","1","169","207","726","5","","455","455","455","","","","","","56P2R2A4_03168"
"group_10050","","hypothetical protein","1","1","1","166","1310","1","869","","392","392","392","","","","","","56P2R2A4_03295"
"group_10051","","putative protein","1","1","1","166","2023","720","4","","338","338","338","","","","","","56P2R2A4_03316"
"group_10052","yqgF","Putative pre-16S rRNA nuclease","1","1","1","166","2013","110","8","","416","416","416","","","","","","56P2R2A4_03323"
"cdiA_2","","tRNA nuclease CdiA","1","1","1","168","239","18","65","","3524","3524","3524","","","","","","56P2R2A4_03371"
"group_10054","","hypothetical protein","1","1","1","168","240","18","66","","260","260","260","","","","","","56P2R2A4_03372"
"group_10055","","hypothetical protein","1","1","1","168","249","18","12","","1013","1013","1013","","","","","","56P2R2A4_03378"
"ycbV_2","","putative fimbrial-like protein YcbV","1","1","1","168","248","18","11","","518","518","518","","","","","","56P2R2A4_03379"
"group_10057","fimD_2","Outer membrane usher protein FimD","1","1","1","168","247","18","10","","2525","2525","2525","","","","","","56P2R2A4_03380"
"elfD","","putative fimbrial chaperone protein ElfD","1","1","1","168","246","18","9","","677","677","677","","","","","","56P2R2A4_03381"
"mrpA","","Major MR/P fimbria protein","1","1","1","168","251","18","8","","584","584","584","","","","","","56P2R2A4_03382"
"hemX_2","","Protein HemX","1","1","1","168","530","495","5","","1193","1193","1193","","","38P2R3A13_07968","","",""
"group_10060","","hypothetical protein","1","1","1","168","252","18","7","","602","602","602","","","","","","56P2R2A4_03383"
"group_10061","","hypothetical protein","1","1","1","168","253","18","6","","593","593","593","","","","","","56P2R2A4_03384"
"group_10062","","hypothetical protein","1","1","1","168","254","18","5","","479","479","479","","","","","","56P2R2A4_03385"
"group_10063","cdhR_3","HTH-type transcriptional regulator CdhR","1","1","1","168","255","18","72","","998","998","998","","","","","","56P2R2A4_03386"
"group_10064","","hypothetical protein","1","1","1","168","52","18","81","","299","299","299","","","","","","56P2R2A4_03389"
"higB2_2","","Putative toxin HigB2","1","1","1","168","51","18","1","","350","350","350","","","","","","56P2R2A4_03390"
"group_10066","ligB","DNA ligase B","1","1","1","168","276","161","1","","1670","1670","1670","","","","","","56P2R2A4_03402"
"group_10067","","hypothetical protein","1","1","1","168","665","27","50","","908","908","908","","","","","","56P2R2A4_03423"
"group_10068","cooF_2","Iron-sulfur protein","1","1","1","168","397","28","3","","455","455","455","","","","","","56P2R2A4_03458"
"group_10069","","hypothetical protein","1","1","1","168","395","28","44","","788","788","788","","","","","","56P2R2A4_03460"
"hemY_2","","Protein HemY","1","1","1","168","529","495","2","","1202","1202","1202","","","38P2R3A13_07969","","",""
"group_10070","","hypothetical protein","1","1","1","168","427","729","1","","437","437","437","","","","","","56P2R2A4_03476"
"group_10071","kdgR_2","HTH-type transcriptional regulator KdgR","1","1","1","168","435","51","19","","1016","1016","1016","","","","","","56P2R2A4_03485"
"group_10072","metB","Cystathionine gamma-synthase","1","1","1","170","21","811","1","","1160","1160","1160","","","","","","56P2R2A4_03522"
"group_10073","vapC","tRNA(fMet)-specific endonuclease VapC","1","1","1","170","143","45","11","","371","371","371","","","","","","56P2R2A4_03571"
"group_10074","","hypothetical protein","1","1","1","170","142","45","12","","242","242","242","","","","","","56P2R2A4_03572"
"group_10075","nlhH","Carboxylesterase NlhH","1","1","1","170","7","45","13","","920","920","920","","","","","","56P2R2A4_03573"
"group_10076","","hypothetical protein","1","1","1","170","4","45","8","","470","470","470","","","","","","56P2R2A4_03578"
"group_10077","","hypothetical protein","1","1","1","170","3","45","7","","743","743","743","","","","","","56P2R2A4_03579"
"group_10078","","hypothetical protein","1","1","1","170","1","45","3","","617","617","617","","","","","","56P2R2A4_03580"
"group_10079","","hypothetical protein","1","1","1","170","195","45","4","","2846","2846","2846","","","","","","56P2R2A4_03581"
"group_10080","engB","putative GTP-binding protein EngB","1","1","1","170","184","830","1","","629","629","629","","","","","","56P2R2A4_03588"
"group_10081","","hypothetical protein","1","1","1","168","5","18","49","","419","419","419","","","","","","56P2R2A4_03600"
"group_10082","ibpA","Small heat shock protein IbpA","1","1","1","168","181","50","2","","410","410","410","","","","","","56P2R2A4_03636"
"group_10083","adeP","Adenine permease AdeP","1","1","1","168","143","786","1","","1253","1253","1253","","","","","","56P2R2A4_03653"
"group_10084","gntR_2","HTH-type transcriptional regulator GntR","1","1","1","169","361","7","99","","1052","1052","1052","","","","","","56P2R2A4_03723"
"group_10085","aaaT","L-amino acid N-acetyltransferase AaaT","1","1","1","169","362","7","93","","488","488","488","","","","","","56P2R2A4_03726"
"group_10086","ftsX","Cell division protein FtsX","1","1","1","169","393","829","1","","1055","1055","1055","","","","","","56P2R2A4_03743"
"group_10087","","hypothetical protein","1","1","1","169","172","7","110","","953","953","953","","","","","","56P2R2A4_03753"
"group_10088","lamB_2","Maltoporin","1","1","1","169","171","7","109","","1343","1343","1343","","","","","","56P2R2A4_03754"
"group_10089","","hypothetical protein","1","1","1","169","124","93","6","","317","317","317","","","","","","56P2R2A4_03769"
"group_10090","","hypothetical protein","1","1","1","169","129","93","13","","293","293","293","","","","","","56P2R2A4_03770"
"group_10091","","hypothetical protein","1","1","1","168","325","179","3","","128","128","128","","","","","","56P2R2A4_03785"
"group_10092","","hypothetical protein","1","1","1","168","346","808","1","","1211","1211","1211","","","","","","56P2R2A4_03815"
"group_10094","udp","Uridine phosphorylase","1","1","1","168","492","74","14","","761","761","761","","","","","","56P2R2A4_03840"
"group_10095","","hypothetical protein","1","1","1","167","861","44","25","","212","212","212","","","","","","56P2R2A4_03874"
"group_10096","frdA","Fumarate reductase flavoprotein subunit","1","1","1","167","735","30","1","","1667","1667","1667","","","","","","56P2R2A4_03904"
"group_10097","dcuA","Anaerobic C4-dicarboxylate transporter DcuA","1","1","1","167","790","804","1","","1301","1301","1301","","","","","","56P2R2A4_03921"
"group_10098","eamB","Cysteine/O-acetylserine efflux protein","1","1","1","167","746","744","2","","590","590","590","","","","","","56P2R2A4_03925"
"group_10099","rhaS_6","HTH-type transcriptional activator RhaS","1","1","1","167","745","744","1","","845","845","845","","","","","","56P2R2A4_03926"
"srpA_1","","Catalase-related peroxidase","1","1","1","166","5596","9","123","","1073","1073","1073","","","","","","56P2R2A4_03933"
"yceJ_2","","Cytochrome b561","1","1","1","166","6882","9","122","","587","587","587","","","","","","56P2R2A4_03934"
"group_10102","","hypothetical protein","1","1","1","166","6853","9","158","","524","524","524","","","","","","56P2R2A4_03938"
"group_10103","","putative protein","1","1","1","166","6852","9","159","","848","848","848","","","","","","56P2R2A4_03939"
"group_10104","","hypothetical protein","1","1","1","166","6844","9","104","","410","410","410","","","","","","56P2R2A4_03942"
"group_10105","","hypothetical protein","1","1","1","166","6843","9","103","","239","239","239","","","","","","56P2R2A4_03943"
"group_10106","","hypothetical protein","1","1","1","166","6842","9","102","","572","572","572","","","","","","56P2R2A4_03944"
"group_10107","","hypothetical protein","1","1","1","166","6840","9","99","","875","875","875","","","","","","56P2R2A4_03946"
"group_10108","","hypothetical protein","1","1","1","166","6854","9","98","","851","851","851","","","","","","56P2R2A4_03947"
"intS","","Prophage integrase IntS","1","1","1","166","6855","9","97","","1178","1178","1178","","","","","","56P2R2A4_03948"
"group_10110","","hypothetical protein","1","1","1","166","4715","1","680","","305","305","305","","","","","","56P2R2A4_04005"
"group_10111","dmlR_16","HTH-type transcriptional regulator DmlR","1","1","1","166","4714","1","679","","914","914","914","","","","","","56P2R2A4_04006"
"dadD","","5'-deoxyadenosine deaminase","1","1","1","166","4713","1","678","","1322","1322","1322","","","","","","56P2R2A4_04007"
"group_10113","yfcJ_3","putative MFS-type transporter YfcJ","1","1","1","166","4708","1","643","","1199","1199","1199","","","","","","56P2R2A4_04008"
"group_10114","","hypothetical protein","1","1","1","166","4709","1","644","","770","770","770","","","","","","56P2R2A4_04009"
"group_10115","ygiW_2","Protein YgiW","1","1","1","166","4701","1","699","","389","389","389","","","","","","56P2R2A4_04057"
"group_10116","","hypothetical protein","1","1","1","166","4700","1","700","","509","509","509","","","","","","56P2R2A4_04058"
"group_10117","","hypothetical protein","1","1","1","166","4670","1","292","","107","107","107","","","","","","56P2R2A4_04070"
"group_10118","","hypothetical protein","1","1","1","166","4680","1","715","","980","980","980","","","","","","56P2R2A4_04078"
"group_10119","wzzB","Chain length determinant protein","1","1","1","166","5803","14","1","","980","980","980","","","","","","56P2R2A4_04184"
"group_10120","","UDP-glucose 4-epimerase","1","1","1","166","5804","14","2","","1004","1004","1004","","","","","","56P2R2A4_04185"
"dapH_2","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","1","1","1","166","6071","14","30","","521","521","521","","","","","","56P2R2A4_04196"
"lacA","","Galactoside O-acetyltransferase","1","1","1","166","6070","14","29","","587","587","587","","","","","","56P2R2A4_04197"
"group_10123","rfbB","dTDP-glucose 4,6-dehydratase","1","1","1","166","6069","14","28","","1082","1082","1082","","","","","","56P2R2A4_04198"
"group_10124","rfbA","Glucose-1-phosphate thymidylyltransferase 1","1","1","1","166","6068","14","27","","875","875","875","","","","","","56P2R2A4_04199"
"group_10125","rfbC","dTDP-4-dehydrorhamnose 3,5-epimerase","1","1","1","166","6067","14","26","","560","560","560","","","","","","56P2R2A4_04200"
"fcl_2","","GDP-L-fucose synthase","1","1","1","166","6066","14","25","","824","824","824","","","","","","56P2R2A4_04201"
"group_10127","","hypothetical protein","1","1","1","166","6065","14","24","","1457","1457","1457","","","","","","56P2R2A4_04202"
"group_10128","","hypothetical protein","1","1","1","166","6064","14","23","","893","893","893","","","","","","56P2R2A4_04203"
"group_10129","","hypothetical protein","1","1","1","166","6063","14","22","","1274","1274","1274","","","","","","56P2R2A4_04204"
"group_10130","","hypothetical protein","1","1","1","166","6062","14","21","","1055","1055","1055","","","","","","56P2R2A4_04205"
"mshA_2","","D-inositol-3-phosphate glycosyltransferase","1","1","1","166","6061","14","20","","1109","1109","1109","","","","","","56P2R2A4_04206"
"manC1_2","","Mannose-1-phosphate guanylyltransferase 1","1","1","1","166","6060","14","19","","1427","1427","1427","","","","","","56P2R2A4_04207"
"group_10134","","hypothetical protein","1","1","1","179","5","715","13","","431","431","431","","","","","","56P2R2A4_04222"
"group_10135","","hypothetical protein","1","1","1","179","4","715","1","","818","818","818","","","","","","56P2R2A4_04223"
"group_10136","","hypothetical protein","1","1","1","179","3","715","8","","1499","1499","1499","","","","","","56P2R2A4_04224"
"group_10137","","hypothetical protein","1","1","1","179","10","715","2","","425","425","425","","","","","","56P2R2A4_04226"
"group_10138","","hypothetical protein","1","1","1","179","9","715","4","","677","677","677","","","","","","56P2R2A4_04227"
"group_10139","","hypothetical protein","1","1","1","180","5","740","5","","131","131","131","","","","","","56P2R2A4_04229"
"group_10140","","hypothetical protein","1","1","1","180","4","740","4","","428","428","428","","","","","","56P2R2A4_04230"
"group_10141","","hypothetical protein","1","1","1","180","3","740","3","","299","299","299","","","","","","56P2R2A4_04231"
"group_10142","","hypothetical protein","1","1","1","180","2","740","2","","143","143","143","","","","","","56P2R2A4_04232"
"group_10143","","hypothetical protein","1","1","1","180","1","740","1","","758","758","758","","","","","","56P2R2A4_04233"
"tfaE_1","","Prophage tail fiber assembly protein TfaE","1","1","1","182","1","745","2","Investigate","608","608","608","","","","","","56P2R2A4_04234"
"tfaE_2","","Prophage tail fiber assembly protein TfaE","1","1","1","182","2","745","1","Investigate","602","602","602","","","","","","56P2R2A4_04235"
"wzzE_2","","ECA polysaccharide chain length modulation protein","1","1","1","168","343","60","3","","1046","1046","1046","","","38P2R3A13_06862","","",""
"udp_2","","Uridine phosphorylase","1","1","1","168","353","74","9","","761","761","761","","","38P2R3A13_07017","","",""
"ppiC_3","","Peptidyl-prolyl cis-trans isomerase C","1","1","1","168","311","437","6","","281","281","281","","","38P2R3A13_06872","","",""
"ibpA_2","","Small heat shock protein IbpA","1","1","1","168","86","50","17","","410","410","410","","","38P2R3A13_06840","","",""
"gpsA_2","","Glycerol-3-phosphate dehydrogenase [NAD(P)+]","1","1","1","168","613","451","1","","227","227","227","","","38P2R3A13_08004","","",""
"cpxR_2","","Transcriptional regulatory protein CpxR","1","1","1","140","1","652","1","Investigate","698","698","698","","","38P2R3A13_08700","","",""
"group_10224","","hypothetical protein","1","1","1","166","5832","4","210","","335","335","335","","","38P2R3A13_07530","","",""
"lapB_2","","Lipopolysaccharide assembly protein B","1","1","1","166","2214","58","15","","1169","1169","1169","","","38P2R3A13_07117","","",""
"uspA_2","","Universal stress protein A","1","1","1","169","445","40","13","","437","437","437","","","38P2R3A13_06228","","",""
"dcuA_2","","Anaerobic C4-dicarboxylate transporter DcuA","1","1","1","167","785","521","1","","1301","1301","1301","","","38P2R3A13_08117","","",""
"envZ_2","","Osmolarity sensor protein EnvZ","1","1","1","38","2","545","2","","1346","1346","1346","","","38P2R3A13_08392","","",""
"ruvA_2","","Holliday junction ATP-dependent DNA helicase RuvA","1","1","1","166","2493","502","2","","611","611","611","","","38P2R3A13_07174","","",""
"group_10266","tuf1_2","Elongation factor Tu 1","1","1","1","171","35","873","1","","137","137","137","","","","47P2R3A6_04524","",""
"tuf1_3","","Elongation factor Tu 1","1","1","1","171","31","524","4","","137","137","137","","","38P2R3A13_08550","","",""
"pstC_2","","Phosphate transport system permease protein PstC","1","1","1","36","2","578","2","","959","959","959","","","38P2R3A13_08276","","",""
"ihfA_2","","Integration host factor subunit alpha","1","1","1","166","945","393","1","","299","299","299","","","38P2R3A13_06367","","",""
"argP_4","","HTH-type transcriptional regulator ArgP","1","1","1","166","1940","463","4","","893","893","893","","","38P2R3A13_07822","","",""
"glnK_2","","Nitrogen regulatory protein P-II 2","1","1","1","166","5536","408","14","","338","338","338","","","38P2R3A13_06711","","",""
"cysK_2","","Cysteine synthase A","1","1","1","160","1","681","1","Investigate","971","971","971","","","38P2R3A13_08654","","",""
"tcdA_2","","tRNA threonylcarbamoyladenosine dehydratase","1","1","1","166","4567","117","3","","806","806","806","","","38P2R3A13_08180","","",""
"sucD_2","","Succinate--CoA ligase [ADP-forming] subunit alpha","1","1","1","166","1224","476","1","","869","869","869","","","38P2R3A13_07808","","",""
"glnS_2","","Glutamine--tRNA ligase","1","1","1","166","7551","529","1","","1133","1133","1133","","","38P2R3A13_08259","","",""
"rdgC_2","","Recombination-associated protein RdgC","1","1","1","166","7079","22","7","","914","914","914","","","38P2R3A13_06326","","",""
"slmA_2","","Nucleoid occlusion factor SlmA","1","1","1","46","1","583","2","","254","254","254","","","38P2R3A13_08574","","",""
"group_10315","","hypothetical protein","1","1","1","166","656","31","20","","1301","1301","1301","","","38P2R3A13_07594","","",""
"dauR_2","","Transcriptional regulator DauR","1","1","1","169","236","478","2","","722","722","722","","","38P2R3A13_08570","","",""
"cysC_2","","Adenylyl-sulfate kinase","1","1","1","10","4","453","2","","605","605","605","","","38P2R3A13_07630","","",""
"ptsO_2","","Phosphocarrier protein NPr","1","1","1","166","1479","97","13","","272","272","272","","","38P2R3A13_07834","","",""
"group_1033","","hypothetical protein","1","1","1","168","279","515","2","","752","752","752","","","38P2R3A13_08286","","",""
"yejK_2","","Nucleoid-associated protein YejK","1","1","1","87","1","642","1","Investigate","1007","1007","1007","","","38P2R3A13_08653","","",""
"chrR_2","","Quinone reductase","1","1","1","168","150","454","5","","566","566","566","","","38P2R3A13_07707","","",""
"cspC_2","","Cold shock-like protein CspC","1","1","1","166","2867","492","1","","209","209","209","","","38P2R3A13_08150","","",""
"mlaE_2","","Intermembrane phospholipid transport system permease protein MlaE","1","1","1","166","1470","477","2","","782","782","782","","","38P2R3A13_08273","","",""
"hemA_2","","Glutamyl-tRNA reductase","1","1","1","166","2411","467","6","","1256","1256","1256","","","38P2R3A13_07995","","",""
"pepA_4","","Cytosol aminopeptidase","1","1","1","141","1","700","1","Investigate","1511","1511","1511","","","38P2R3A13_08538","","",""
"hemH_2","","Ferrochelatase","1","1","1","166","5481","389","2","","962","962","962","","","38P2R3A13_07622","","",""
"fnr_2","","Fumarate and nitrate reduction regulatory protein","1","1","1","30","4","507","2","","752","752","752","","","38P2R3A13_08478","","",""
"alaA_2","","Glutamate-pyruvate aminotransferase AlaA","1","1","1","166","6410","461","1","","1214","1214","1214","","","38P2R3A13_07867","","",""
"hisM_2","","Histidine transport system permease protein HisM","1","1","1","166","5671","397","10","","716","716","716","","","38P2R3A13_06501","","",""
"corA_2","","Magnesium transport protein CorA","1","1","1","168","348","445","8","","950","950","950","","","38P2R3A13_07500","","",""
"asnB_2","","Asparagine synthetase B [glutamine-hydrolyzing]","1","1","1","55","1","531","2","","1664","1664","1664","","","38P2R3A13_08224","","",""
"grxD_2","","Glutaredoxin 4","1","1","1","166","847","464","5","","347","347","347","","","38P2R3A13_08101","","",""
"metN_4","","Methionine import ATP-binding protein MetN","1","1","1","167","203","491","4","","1031","1031","1031","","","38P2R3A13_08239","","",""
"ybaN_2","","Inner membrane protein YbaN","1","1","1","84","1","682","1","Investigate","377","377","377","","","38P2R3A13_08699","","",""
"metK_2","","S-adenosylmethionine synthase","1","1","1","166","2003","110","1","","1154","1154","1154","","","38P2R3A13_07460","","",""
"cysE_4","","Serine acetyltransferase","1","1","1","168","614","451","2","","821","821","821","","","38P2R3A13_08005","","",""
"acrA_2","","Multidrug efflux pump subunit AcrA","1","1","1","166","5504","113","11","","1193","1193","1193","","","38P2R3A13_07413","","",""
"asnC_2","","Regulatory protein AsnC","1","1","1","22","2","490","2","","458","458","458","","","38P2R3A13_08050","","",""
"tolR_2","","Tol-Pal system protein TolR","1","1","1","25","3","525","2","","428","428","428","","","38P2R3A13_08307","","",""
"lptB_6","","Lipopolysaccharide export system ATP-binding protein LptB","1","1","1","16","5","489","2","","767","767","767","","","38P2R3A13_07964","","",""
"yqgF_2","","Putative pre-16S rRNA nuclease","1","1","1","166","1921","110","13","","416","416","416","","","38P2R3A13_07453","","",""
"tesB_2","","Acyl-CoA thioesterase 2","1","1","1","166","5534","408","12","","860","860","860","","","38P2R3A13_06709","","",""
"cysD_2","","Sulfate adenylyltransferase subunit 2","1","1","1","10","6","453","4","","908","908","908","","","38P2R3A13_07628","","",""
"celA_4","","PTS system cellobiose-specific EIIB component","1","1","1","106","1","627","1","Investigate","305","305","305","","","38P2R3A13_08698","","",""
"metI_2","","D-methionine transport system permease protein MetI","1","1","1","167","204","491","5","","653","653","653","","","38P2R3A13_08238","","",""
"hisG_2","","ATP phosphoribosyltransferase","1","1","1","166","6029","14","69","","899","899","899","","","38P2R3A13_05313","","",""
"cysB_2","","HTH-type transcriptional regulator CysB","1","1","1","82","2","698","2","Investigate","974","974","974","","","38P2R3A13_08248","","",""
"groS_2","","10 kDa chaperonin","1","1","1","167","741","567","1","","293","293","293","","","38P2R3A13_08459","","",""
"rho_2","","Transcription termination factor Rho","1","1","1","168","336","60","1","","1259","1259","1259","","","38P2R3A13_06864","","",""
"glnG","","DNA-binding transcriptional regulator NtrC","1","1","1","170","164","585","2","","1412","1412","1412","","","38P2R3A13_08354","","",""
"gntT_2","","High-affinity gluconate transporter","1","1","1","11","4","475","1","","1316","1316","1316","","","38P2R3A13_07263","","",""
"gpt_2","","Xanthine phosphoribosyltransferase","1","1","1","166","7020","126","2","","458","458","458","","","38P2R3A13_08265","","",""
"pykA_2","","Pyruvate kinase II","1","1","1","166","2485","479","6","","1442","1442","1442","","","38P2R3A13_07181","","",""
"phoB_3","","Phosphate regulon transcriptional regulatory protein PhoB","1","1","1","166","7091","474","5","","689","689","689","","","38P2R3A13_07715","","",""
"glnQ_12","","Glutamine transport ATP-binding protein GlnQ","1","1","1","166","1523","520","3","","758","758","758","","","38P2R3A13_08312","","",""
"mraY_2","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","1","1","1","167","179","581","1","","1082","1082","1082","","","38P2R3A13_08375","","",""
"ppiD_2","","Peptidyl-prolyl cis-trans isomerase D","1","1","1","166","7161","408","1","","1871","1871","1871","","","38P2R3A13_06721","","",""
"nrdR_2","","Transcriptional repressor NrdR","1","1","1","166","7122","109","3","","449","449","449","","","38P2R3A13_08043","","",""
"cyoD_2","","Cytochrome bo(3) ubiquinol oxidase subunit 4","1","1","1","64","2","537","3","","326","326","326","","","38P2R3A13_08649","","",""
"glnB_2","","Nitrogen regulatory protein P-II","1","1","1","166","6624","722","7","","338","338","338","","","38P2R3A13_07359","","",""
"ampG_2","","Anhydromuropeptide permease","1","1","1","44","2","552","2","","1481","1481","1481","","","38P2R3A13_08351","","",""
"infA_2","","Translation initiation factor IF-1","1","1","1","166","364","557","3","","218","218","218","","","38P2R3A13_08376","","",""
"group_10509","","hypothetical protein","1","1","1","166","6188","387","25","","719","719","719","","","38P2R3A13_05471","","",""
"rplQ_2","","50S ribosomal protein L17","1","1","1","171","1","419","1","","386","386","386","","","38P2R3A13_07726","","",""
"glpR_7","","Glycerol-3-phosphate regulon repressor","1","1","1","11","2","475","5","","758","758","758","","","38P2R3A13_07259","","",""
"cyoC_2","","Cytochrome bo(3) ubiquinol oxidase subunit 3","1","1","1","64","1","537","1","","464","464","464","","","38P2R3A13_08648","","",""
"yhhT_4","","Putative transport protein YhhT","1","1","1","166","6526","414","5","","1064","1064","1064","","","38P2R3A13_06917","","",""
"relA_2","","GTP pyrophosphokinase","1","1","1","166","4108","553","2","","2231","2231","2231","","","38P2R3A13_08169","","",""
"lacG_2","","Lactose transport system permease protein LacG","1","1","1","169","380","7","68","","845","845","845","","","38P2R3A13_07514","","",""
"yhfA_2","","Protein YhfA","1","1","1","169","227","399","1","","404","404","404","","","38P2R3A13_06671","","",""
"fliQ_3","","Flagellar biosynthetic protein FliQ","1","1","1","40","2","577","3","","269","269","269","","","38P2R3A13_08525","","",""
"prmB_2","","50S ribosomal protein L3 glutamine methyltransferase","1","1","1","19","2","497","1","","932","932","932","","","38P2R3A13_08197","","",""
"yajR_3","","Inner membrane transport protein YajR","1","1","1","166","5559","434","2","","1361","1361","1361","","","38P2R3A13_07146","","",""
"minE_2","","Cell division topological specificity factor","1","1","1","78","2","648","2","Investigate","269","269","269","","","38P2R3A13_08661","","",""
"group_10551","lexA_2","LexA repressor","1","1","1","169","115","80","2","","608","608","608","","","38P2R3A13_07683","","",""
"tsx_3","","Nucleoside-specific channel-forming protein Tsx","1","1","1","166","7120","109","1","","890","890","890","","","38P2R3A13_08045","","",""
"group_1056","","hypothetical protein","1","1","1","166","5560","434","3","","491","491","491","","","38P2R3A13_07147","","",""
"hslO_2","","33 kDa chaperonin","1","1","1","129","1","607","1","Investigate","878","878","878","","","38P2R3A13_08621","","",""
"cyaA_2","","Adenylate cyclase","1","1","1","88","1","619","2","Investigate","2543","2543","2543","","","38P2R3A13_08254","","",""
"dam_2","","DNA adenine methylase","1","1","1","169","217","404","1","","812","812","812","","","38P2R3A13_07192","","",""
